"candidato","votos","porcentaje","partido","municipio","departamento","dane"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",2483,43.33,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","CONDOTO","Chocó","17013"
"AMAN ALIRIO ASPRILLA MOSQUERA",1777,31.01,"CONSTRUYENDO CONFIANZA","CONDOTO","Chocó","17013"
"NIGERIA RENTERIA LOZANO",1110,19.37,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","CONDOTO","Chocó","17013"
"JESUS ORACIO MORENO MOSQUERA",104,1.81,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CONDOTO","Chocó","17013"
"MELECIO QUINTO ARIAS",27,0.47,"PARTIDO CENTRO DEMOCRÁTICO","CONDOTO","Chocó","17013"
"AMAN ALIRIO ASPRILLA MOSQUERA",1091,43.19,"CONSTRUYENDO CONFIANZA","EL CANTON DEL SAN PABLO (MAN.","Chocó","17017"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",760,30.08,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","EL CANTON DEL SAN PABLO (MAN.","Chocó","17017"
"NIGERIA RENTERIA LOZANO",470,18.6,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","EL CANTON DEL SAN PABLO (MAN.","Chocó","17017"
"MELECIO QUINTO ARIAS",22,0.87,"PARTIDO CENTRO DEMOCRÁTICO","EL CANTON DEL SAN PABLO (MAN.","Chocó","17017"
"JESUS ORACIO MORENO MOSQUERA",9,0.35,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","EL CANTON DEL SAN PABLO (MAN.","Chocó","17017"
"NIGERIA RENTERIA LOZANO",1096,44.82,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","EL CARMEN","Chocó","17016"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",728,29.77,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","EL CARMEN","Chocó","17016"
"AMAN ALIRIO ASPRILLA MOSQUERA",262,10.71,"CONSTRUYENDO CONFIANZA","EL CARMEN","Chocó","17016"
"MELECIO QUINTO ARIAS",59,2.41,"PARTIDO CENTRO DEMOCRÁTICO","EL CARMEN","Chocó","17016"
"JESUS ORACIO MORENO MOSQUERA",16,0.65,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","EL CARMEN","Chocó","17016"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1281,44.32,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","EL LITORAL DEL SAN JUAN","Chocó","17038"
"AMAN ALIRIO ASPRILLA MOSQUERA",783,27.09,"CONSTRUYENDO CONFIANZA","EL LITORAL DEL SAN JUAN","Chocó","17038"
"NIGERIA RENTERIA LOZANO",579,20.03,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","EL LITORAL DEL SAN JUAN","Chocó","17038"
"JESUS ORACIO MORENO MOSQUERA",47,1.62,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","EL LITORAL DEL SAN JUAN","Chocó","17038"
"MELECIO QUINTO ARIAS",23,0.79,"PARTIDO CENTRO DEMOCRÁTICO","EL LITORAL DEL SAN JUAN","Chocó","17038"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",5331,51.06,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","ISTMINA","Chocó","17019"
"AMAN ALIRIO ASPRILLA MOSQUERA",3704,35.48,"CONSTRUYENDO CONFIANZA","ISTMINA","Chocó","17019"
"NIGERIA RENTERIA LOZANO",1024,9.8,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","ISTMINA","Chocó","17019"
"MELECIO QUINTO ARIAS",91,0.87,"PARTIDO CENTRO DEMOCRÁTICO","ISTMINA","Chocó","17019"
"JESUS ORACIO MORENO MOSQUERA",34,0.32,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ISTMINA","Chocó","17019"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",682,53.19,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","JURADO","Chocó","17022"
"AMAN ALIRIO ASPRILLA MOSQUERA",448,34.94,"CONSTRUYENDO CONFIANZA","JURADO","Chocó","17022"
"NIGERIA RENTERIA LOZANO",74,5.77,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","JURADO","Chocó","17022"
"JESUS ORACIO MORENO MOSQUERA",29,2.26,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","JURADO","Chocó","17022"
"MELECIO QUINTO ARIAS",5,0.39,"PARTIDO CENTRO DEMOCRÁTICO","JURADO","Chocó","17022"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1314,39.08,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","LLORO","Chocó","17025"
"NIGERIA RENTERIA LOZANO",1142,33.96,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","LLORO","Chocó","17025"
"AMAN ALIRIO ASPRILLA MOSQUERA",539,16.03,"CONSTRUYENDO CONFIANZA","LLORO","Chocó","17025"
"MELECIO QUINTO ARIAS",50,1.48,"PARTIDO CENTRO DEMOCRÁTICO","LLORO","Chocó","17025"
"JESUS ORACIO MORENO MOSQUERA",13,0.38,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","LLORO","Chocó","17025"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1435,48.33,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","MEDIO ATRATO (BETE)","Chocó","17012"
"AMAN ALIRIO ASPRILLA MOSQUERA",926,31.18,"CONSTRUYENDO CONFIANZA","MEDIO ATRATO (BETE)","Chocó","17012"
"NIGERIA RENTERIA LOZANO",504,16.97,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","MEDIO ATRATO (BETE)","Chocó","17012"
"JESUS ORACIO MORENO MOSQUERA",21,0.7,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","MEDIO ATRATO (BETE)","Chocó","17012"
"MELECIO QUINTO ARIAS",14,0.47,"PARTIDO CENTRO DEMOCRÁTICO","MEDIO ATRATO (BETE)","Chocó","17012"
"AMAN ALIRIO ASPRILLA MOSQUERA",2234,53.66,"CONSTRUYENDO CONFIANZA","MEDIO BAUDO (PUERTO MELUK)","Chocó","17026"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1411,33.89,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","MEDIO BAUDO (PUERTO MELUK)","Chocó","17026"
"NIGERIA RENTERIA LOZANO",390,9.36,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","MEDIO BAUDO (PUERTO MELUK)","Chocó","17026"
"MELECIO QUINTO ARIAS",7,0.16,"PARTIDO CENTRO DEMOCRÁTICO","MEDIO BAUDO (PUERTO MELUK)","Chocó","17026"
"JESUS ORACIO MORENO MOSQUERA",5,0.12,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","MEDIO BAUDO (PUERTO MELUK)","Chocó","17026"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1360,39.44,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","MEDIO SAN JUAN","Chocó","17027"
"AMAN ALIRIO ASPRILLA MOSQUERA",995,28.85,"CONSTRUYENDO CONFIANZA","MEDIO SAN JUAN","Chocó","17027"
"NIGERIA RENTERIA LOZANO",959,27.81,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","MEDIO SAN JUAN","Chocó","17027"
"MELECIO QUINTO ARIAS",14,0.4,"PARTIDO CENTRO DEMOCRÁTICO","MEDIO SAN JUAN","Chocó","17027"
"JESUS ORACIO MORENO MOSQUERA",11,0.31,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","MEDIO SAN JUAN","Chocó","17027"
"AMAN ALIRIO ASPRILLA MOSQUERA",1500,57.09,"CONSTRUYENDO CONFIANZA","NOVITA","Chocó","17028"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",687,26.15,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","NOVITA","Chocó","17028"
"NIGERIA RENTERIA LOZANO",368,14,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","NOVITA","Chocó","17028"
"MELECIO QUINTO ARIAS",15,0.57,"PARTIDO CENTRO DEMOCRÁTICO","NOVITA","Chocó","17028"
"JESUS ORACIO MORENO MOSQUERA",7,0.26,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","NOVITA","Chocó","17028"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1108,41.26,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","NUQUI","Chocó","17031"
"AMAN ALIRIO ASPRILLA MOSQUERA",750,27.93,"CONSTRUYENDO CONFIANZA","NUQUI","Chocó","17031"
"NIGERIA RENTERIA LOZANO",720,26.81,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","NUQUI","Chocó","17031"
"MELECIO QUINTO ARIAS",15,0.55,"PARTIDO CENTRO DEMOCRÁTICO","NUQUI","Chocó","17031"
"JESUS ORACIO MORENO MOSQUERA",14,0.52,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","NUQUI","Chocó","17031"
"NIGERIA RENTERIA LOZANO",14984,39.39,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","QUIBDO","Chocó","17001"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",12080,31.75,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","QUIBDO","Chocó","17001"
"AMAN ALIRIO ASPRILLA MOSQUERA",8745,22.99,"CONSTRUYENDO CONFIANZA","QUIBDO","Chocó","17001"
"MELECIO QUINTO ARIAS",358,0.94,"PARTIDO CENTRO DEMOCRÁTICO","QUIBDO","Chocó","17001"
"JESUS ORACIO MORENO MOSQUERA",292,0.76,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","QUIBDO","Chocó","17001"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1166,62.48,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","RIO IRO","Chocó","17032"
"AMAN ALIRIO ASPRILLA MOSQUERA",455,24.38,"CONSTRUYENDO CONFIANZA","RIO IRO","Chocó","17032"
"NIGERIA RENTERIA LOZANO",201,10.77,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","RIO IRO","Chocó","17032"
"MELECIO QUINTO ARIAS",11,0.58,"PARTIDO CENTRO DEMOCRÁTICO","RIO IRO","Chocó","17032"
"JESUS ORACIO MORENO MOSQUERA",8,0.42,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","RIO IRO","Chocó","17032"
"NIGERIA RENTERIA LOZANO",1285,35.73,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","RIO QUITO (PAIMADO)","Chocó","17035"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1117,31.06,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","RIO QUITO (PAIMADO)","Chocó","17035"
"AMAN ALIRIO ASPRILLA MOSQUERA",1077,29.94,"CONSTRUYENDO CONFIANZA","RIO QUITO (PAIMADO)","Chocó","17035"
"MELECIO QUINTO ARIAS",31,0.86,"PARTIDO CENTRO DEMOCRÁTICO","RIO QUITO (PAIMADO)","Chocó","17035"
"JESUS ORACIO MORENO MOSQUERA",11,0.3,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","RIO QUITO (PAIMADO)","Chocó","17035"
"NIGERIA RENTERIA LOZANO",1910,32.27,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","RIOSUCIO","Chocó","17034"
"AMAN ALIRIO ASPRILLA MOSQUERA",1853,31.31,"CONSTRUYENDO CONFIANZA","RIOSUCIO","Chocó","17034"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1788,30.21,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","RIOSUCIO","Chocó","17034"
"MELECIO QUINTO ARIAS",76,1.28,"PARTIDO CENTRO DEMOCRÁTICO","RIOSUCIO","Chocó","17034"
"JESUS ORACIO MORENO MOSQUERA",53,0.89,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","RIOSUCIO","Chocó","17034"
"NIGERIA RENTERIA LOZANO",1077,47.99,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","SAN JOSE DEL PALMAR","Chocó","17037"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",758,33.77,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","SAN JOSE DEL PALMAR","Chocó","17037"
"AMAN ALIRIO ASPRILLA MOSQUERA",361,16.08,"CONSTRUYENDO CONFIANZA","SAN JOSE DEL PALMAR","Chocó","17037"
"JESUS ORACIO MORENO MOSQUERA",13,0.57,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","SAN JOSE DEL PALMAR","Chocó","17037"
"MELECIO QUINTO ARIAS",10,0.44,"PARTIDO CENTRO DEMOCRÁTICO","SAN JOSE DEL PALMAR","Chocó","17037"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",562,58.54,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","SIPI","Chocó","17040"
"NIGERIA RENTERIA LOZANO",242,25.2,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","SIPI","Chocó","17040"
"AMAN ALIRIO ASPRILLA MOSQUERA",136,14.16,"CONSTRUYENDO CONFIANZA","SIPI","Chocó","17040"
"JESUS ORACIO MORENO MOSQUERA",7,0.72,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","SIPI","Chocó","17040"
"MELECIO QUINTO ARIAS",2,0.2,"PARTIDO CENTRO DEMOCRÁTICO","SIPI","Chocó","17040"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",2764,47.27,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","TADO","Chocó","17043"
"AMAN ALIRIO ASPRILLA MOSQUERA",1805,30.87,"CONSTRUYENDO CONFIANZA","TADO","Chocó","17043"
"NIGERIA RENTERIA LOZANO",912,15.59,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","TADO","Chocó","17043"
"MELECIO QUINTO ARIAS",172,2.94,"PARTIDO CENTRO DEMOCRÁTICO","TADO","Chocó","17043"
"JESUS ORACIO MORENO MOSQUERA",53,0.9,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","TADO","Chocó","17043"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1722,50.02,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","UNGUIA","Chocó","17048"
"NIGERIA RENTERIA LOZANO",955,27.74,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","UNGUIA","Chocó","17048"
"AMAN ALIRIO ASPRILLA MOSQUERA",383,11.12,"CONSTRUYENDO CONFIANZA","UNGUIA","Chocó","17048"
"MELECIO QUINTO ARIAS",62,1.8,"PARTIDO CENTRO DEMOCRÁTICO","UNGUIA","Chocó","17048"
"JESUS ORACIO MORENO MOSQUERA",30,0.87,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","UNGUIA","Chocó","17048"
"JHOANY CARLOS ALBERTO PALACIOS MOSQUERA",1392,44.23,"ACUERDO POLÍTICO POR LA DIGNIDAD Y AUTONOMÍA CON AUTORIDADES PROPIAS","UNION PANAMERICANA (LAS ANIMAS","Chocó","17060"
"AMAN ALIRIO ASPRILLA MOSQUERA",957,30.4,"CONSTRUYENDO CONFIANZA","UNION PANAMERICANA (LAS ANIMAS","Chocó","17060"
"NIGERIA RENTERIA LOZANO",651,20.68,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","UNION PANAMERICANA (LAS ANIMAS","Chocó","17060"
"MELECIO QUINTO ARIAS",33,1.04,"PARTIDO CENTRO DEMOCRÁTICO","UNION PANAMERICANA (LAS ANIMAS","Chocó","17060"
"JESUS ORACIO MORENO MOSQUERA",13,0.41,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","UNION PANAMERICANA (LAS ANIMAS","Chocó","17060"
"EDWIN JOSE BESAILE FAYAD",12168,73.29,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","AYAPEL","Córdoba","13004"
"CARLOS DAVID GOMEZ ESPITIA",3146,18.95,"PARTIDO CAMBIO RADICAL","AYAPEL","Córdoba","13004"
"NICOLAS REINEL PICON BARRERA",452,2.72,"PARTIDO ALIANZA VERDE","AYAPEL","Córdoba","13004"
"EDWIN JOSE BESAILE FAYAD",5322,58.17,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","BUENAVISTA","Córdoba","13007"
"CARLOS DAVID GOMEZ ESPITIA",3258,35.61,"PARTIDO CAMBIO RADICAL","BUENAVISTA","Córdoba","13007"
"NICOLAS REINEL PICON BARRERA",173,1.89,"PARTIDO ALIANZA VERDE","BUENAVISTA","Córdoba","13007"
"EDWIN JOSE BESAILE FAYAD",5722,63.72,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","CANALETE","Córdoba","13009"
"CARLOS DAVID GOMEZ ESPITIA",2804,31.22,"PARTIDO CAMBIO RADICAL","CANALETE","Córdoba","13009"
"NICOLAS REINEL PICON BARRERA",244,2.71,"PARTIDO ALIANZA VERDE","CANALETE","Córdoba","13009"
"EDWIN JOSE BESAILE FAYAD",20595,46.9,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","CERETE","Córdoba","13010"
"CARLOS DAVID GOMEZ ESPITIA",18657,42.49,"PARTIDO CAMBIO RADICAL","CERETE","Córdoba","13010"
"NICOLAS REINEL PICON BARRERA",1291,2.94,"PARTIDO ALIANZA VERDE","CERETE","Córdoba","13010"
"EDWIN JOSE BESAILE FAYAD",5183,57.62,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","CHIMA","Córdoba","13016"
"CARLOS DAVID GOMEZ ESPITIA",3639,40.46,"PARTIDO CAMBIO RADICAL","CHIMA","Córdoba","13016"
"NICOLAS REINEL PICON BARRERA",60,0.66,"PARTIDO ALIANZA VERDE","CHIMA","Córdoba","13016"
"EDWIN JOSE BESAILE FAYAD",16129,65.84,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","CHINU","Córdoba","13019"
"CARLOS DAVID GOMEZ ESPITIA",7141,29.15,"PARTIDO CAMBIO RADICAL","CHINU","Córdoba","13019"
"NICOLAS REINEL PICON BARRERA",241,0.98,"PARTIDO ALIANZA VERDE","CHINU","Córdoba","13019"
"EDWIN JOSE BESAILE FAYAD",13646,52.48,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","CIENAGA DE ORO","Córdoba","13013"
"CARLOS DAVID GOMEZ ESPITIA",10954,42.13,"PARTIDO CAMBIO RADICAL","CIENAGA DE ORO","Córdoba","13013"
"NICOLAS REINEL PICON BARRERA",311,1.19,"PARTIDO ALIANZA VERDE","CIENAGA DE ORO","Córdoba","13013"
"EDWIN JOSE BESAILE FAYAD",6769,66.38,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","COTORRA (BONGO)","Córdoba","13014"
"CARLOS DAVID GOMEZ ESPITIA",3220,31.57,"PARTIDO CAMBIO RADICAL","COTORRA (BONGO)","Córdoba","13014"
"NICOLAS REINEL PICON BARRERA",66,0.64,"PARTIDO ALIANZA VERDE","COTORRA (BONGO)","Córdoba","13014"
"EDWIN JOSE BESAILE FAYAD",4576,67.57,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","LA APARTADA (FRONTERA)","Córdoba","13020"
"CARLOS DAVID GOMEZ ESPITIA",1372,20.25,"PARTIDO CAMBIO RADICAL","LA APARTADA (FRONTERA)","Córdoba","13020"
"NICOLAS REINEL PICON BARRERA",295,4.35,"PARTIDO ALIANZA VERDE","LA APARTADA (FRONTERA)","Córdoba","13020"
"CARLOS DAVID GOMEZ ESPITIA",32180,57.81,"PARTIDO CAMBIO RADICAL","LORICA","Córdoba","13022"
"EDWIN JOSE BESAILE FAYAD",21812,39.18,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","LORICA","Córdoba","13022"
"NICOLAS REINEL PICON BARRERA",398,0.71,"PARTIDO ALIANZA VERDE","LORICA","Córdoba","13022"
"EDWIN JOSE BESAILE FAYAD",4513,63.95,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","LOS CORDOBAS","Córdoba","13023"
"CARLOS DAVID GOMEZ ESPITIA",1990,28.19,"PARTIDO CAMBIO RADICAL","LOS CORDOBAS","Córdoba","13023"
"NICOLAS REINEL PICON BARRERA",192,2.72,"PARTIDO ALIANZA VERDE","LOS CORDOBAS","Córdoba","13023"
"CARLOS DAVID GOMEZ ESPITIA",4653,48.33,"PARTIDO CAMBIO RADICAL","MOMIL","Córdoba","13024"
"EDWIN JOSE BESAILE FAYAD",4640,48.2,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","MOMIL","Córdoba","13024"
"NICOLAS REINEL PICON BARRERA",174,1.8,"PARTIDO ALIANZA VERDE","MOMIL","Córdoba","13024"
"CARLOS DAVID GOMEZ ESPITIA",13307,45.87,"PARTIDO CAMBIO RADICAL","MONTELIBANO","Córdoba","13025"
"EDWIN JOSE BESAILE FAYAD",9615,33.14,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","MONTELIBANO","Córdoba","13025"
"NICOLAS REINEL PICON BARRERA",3711,12.79,"PARTIDO ALIANZA VERDE","MONTELIBANO","Córdoba","13025"
"CARLOS DAVID GOMEZ ESPITIA",86081,52.21,"PARTIDO CAMBIO RADICAL","MONTERIA","Córdoba","13001"
"EDWIN JOSE BESAILE FAYAD",58960,35.76,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","MONTERIA","Córdoba","13001"
"NICOLAS REINEL PICON BARRERA",2808,1.7,"PARTIDO ALIANZA VERDE","MONTERIA","Córdoba","13001"
"EDWIN JOSE BESAILE FAYAD",7022,60.6,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","MOÑITOS","Córdoba","13027"
"CARLOS DAVID GOMEZ ESPITIA",4250,36.67,"PARTIDO CAMBIO RADICAL","MOÑITOS","Córdoba","13027"
"NICOLAS REINEL PICON BARRERA",131,1.13,"PARTIDO ALIANZA VERDE","MOÑITOS","Córdoba","13027"
"EDWIN JOSE BESAILE FAYAD",13919,48.23,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","PLANETA RICA","Córdoba","13028"
"CARLOS DAVID GOMEZ ESPITIA",12928,44.8,"PARTIDO CAMBIO RADICAL","PLANETA RICA","Córdoba","13028"
"NICOLAS REINEL PICON BARRERA",661,2.29,"PARTIDO ALIANZA VERDE","PLANETA RICA","Córdoba","13028"
"EDWIN JOSE BESAILE FAYAD",10010,68.43,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","PUEBLO NUEVO","Córdoba","13031"
"CARLOS DAVID GOMEZ ESPITIA",4032,27.56,"PARTIDO CAMBIO RADICAL","PUEBLO NUEVO","Córdoba","13031"
"NICOLAS REINEL PICON BARRERA",134,0.91,"PARTIDO ALIANZA VERDE","PUEBLO NUEVO","Córdoba","13031"
"EDWIN JOSE BESAILE FAYAD",7247,71.81,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","PUERTO ESCONDIDO","Córdoba","13033"
"CARLOS DAVID GOMEZ ESPITIA",2463,24.4,"PARTIDO CAMBIO RADICAL","PUERTO ESCONDIDO","Córdoba","13033"
"NICOLAS REINEL PICON BARRERA",103,1.02,"PARTIDO ALIANZA VERDE","PUERTO ESCONDIDO","Córdoba","13033"
"CARLOS DAVID GOMEZ ESPITIA",7156,49.96,"PARTIDO CAMBIO RADICAL","PUERTO LIBERTADOR","Córdoba","13032"
"EDWIN JOSE BESAILE FAYAD",6286,43.89,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","PUERTO LIBERTADOR","Córdoba","13032"
"NICOLAS REINEL PICON BARRERA",310,2.16,"PARTIDO ALIANZA VERDE","PUERTO LIBERTADOR","Córdoba","13032"
"EDWIN JOSE BESAILE FAYAD",4459,55.36,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","PURISIMA","Córdoba","13034"
"CARLOS DAVID GOMEZ ESPITIA",3139,38.97,"PARTIDO CAMBIO RADICAL","PURISIMA","Córdoba","13034"
"NICOLAS REINEL PICON BARRERA",210,2.6,"PARTIDO ALIANZA VERDE","PURISIMA","Córdoba","13034"
"EDWIN JOSE BESAILE FAYAD",34609,69.21,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","SAHAGUN","Córdoba","13037"
"CARLOS DAVID GOMEZ ESPITIA",12665,25.32,"PARTIDO CAMBIO RADICAL","SAHAGUN","Córdoba","13037"
"NICOLAS REINEL PICON BARRERA",770,1.53,"PARTIDO ALIANZA VERDE","SAHAGUN","Córdoba","13037"
"CARLOS DAVID GOMEZ ESPITIA",10377,54.25,"PARTIDO CAMBIO RADICAL","SAN ANDRES DE SOTAVENTO","Córdoba","13040"
"EDWIN JOSE BESAILE FAYAD",8319,43.49,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","SAN ANDRES DE SOTAVENTO","Córdoba","13040"
"NICOLAS REINEL PICON BARRERA",104,0.54,"PARTIDO ALIANZA VERDE","SAN ANDRES DE SOTAVENTO","Córdoba","13040"
"EDWIN JOSE BESAILE FAYAD",8393,72.19,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","SAN ANTERO","Córdoba","13043"
"CARLOS DAVID GOMEZ ESPITIA",2093,18,"PARTIDO CAMBIO RADICAL","SAN ANTERO","Córdoba","13043"
"NICOLAS REINEL PICON BARRERA",355,3.05,"PARTIDO ALIANZA VERDE","SAN ANTERO","Córdoba","13043"
"EDWIN JOSE BESAILE FAYAD",8217,59.81,"COALICIÓN PROGR. Y POLÍT. PARTIDO DE LA U - PARTIDO LIBERAL - AICO","SAN BERNARDO DEL VIENTO","Córdoba","13046"
"CARLOS DAVID GOMEZ ESPITIA",4505,32.79,"PARTIDO CAMBIO RADICAL","SAN BERNARDO DEL VIENTO","Córdoba","13046"
